stop_id,north_direction_name,south_direction_name
A40,Manhattan,Lefferts Blvd and The Rockaways
A41,Manhattan,Lefferts Blvd and The Rockaways
A42,Manhattan,Lefferts Blvd and The Rockaways
A43,Manhattan,Lefferts Blvd and The Rockaways
A44,Manhattan,Lefferts Blvd and The Rockaways
A45,Manhattan,Lefferts Blvd and The Rockaways
A46,Manhattan,Lefferts Blvd and The Rockaways
A47,Manhattan,Lefferts Blvd and The Rockaways
A48,Manhattan,Lefferts Blvd and The Rockaways
A49,Manhattan,Lefferts Blvd and The Rockaways
A50,Manhattan,Lefferts Blvd and The Rockaways
A51,Manhattan,Lefferts Blvd and The Rockaways
A52,Manhattan,Lefferts Blvd and The Rockaways
A53,Manhattan,Lefferts Blvd and The Rockaways
A54,Manhattan,Lefferts Blvd and The Rockaways
A55,Manhattan,Lefferts Blvd and The Rockaways
A57,Manhattan,Lefferts Blvd and The Rockaways
A59,Manhattan,Lefferts Blvd and The Rockaways
A60,Manhattan,Lefferts Blvd and The Rockaways
A61,Manhattan,Lefferts Blvd and The Rockaways
A63,Manhattan,Lefferts Blvd - Ozone Park
A64,Manhattan,Lefferts Blvd - Ozone Park
A65,Manhattan,Lefferts Blvd - Ozone Park
B04,Manhattan,Forest Hills and Jamaica
B06,Manhattan,Queens
B08,Uptown via 2nd Av,Downtown and Brooklyn
B10,Manhattan,Uptown and Queens
B12,Manhattan,Coney Island - Stillwell Av
B13,Manhattan,Coney Island - Stillwell Av
B14,Manhattan,Coney Island - Stillwell Av
B15,Manhattan,Coney Island - Stillwell Av
B16,Manhattan,Coney Island - Stillwell Av
B17,Manhattan,Coney Island - Stillwell Av
B18,Manhattan,Coney Island - Stillwell Av
B19,Manhattan,Coney Island - Stillwell Av
B20,Manhattan,Coney Island - Stillwell Av
B21,Manhattan,Coney Island - Stillwell Av
B22,Manhattan,Coney Island - Stillwell Av
B23,Manhattan,Coney Island - Stillwell Av
D01,Norwood - 205 St,Manhattan
D03,Norwood - 205 St,Manhattan
D04,Norwood - 205 St,Manhattan
D05,Norwood - 205 St,Manhattan
D06,Norwood - 205 St,Manhattan
D07,Norwood - 205 St,Manhattan
D08,Norwood - 205 St,Manhattan
D09,Norwood - 205 St,Manhattan
D10,Norwood - 205 St,Manhattan
D11,Norwood - 205 St,Manhattan
D12,The Bronx,Downtown and Brooklyn
D13,Uptown and The Bronx,Downtown and Brooklyn
D14,Uptown and The Bronx,Downtown and Brooklyn
D15,Uptown and The Bronx,Downtown and Brooklyn
D16,Uptown, Queens and The Bronx,Downtown and Brooklyn
D17,Uptown, Queens and The Bronx,Downtown and Brooklyn
D18,Uptown, Queens and The Bronx,Downtown and Brooklyn
D19,Uptown, Queens and The Bronx,Downtown and Brooklyn
D20,Uptown, Queens and The Bronx,Downtown and Brooklyn
D21,Uptown, Queens and The Bronx,Downtown and Brooklyn
D22,Uptown and The Bronx,Brooklyn
D24,Manhattan,Coney Island and Brighton Beach
D25,Manhattan,Coney Island and Brighton Beach
D26,Manhattan,Coney Island and Brighton Beach
D27,Manhattan,Coney Island and Brighton Beach
D28,Manhattan,Coney Island and Brighton Beach
D29,Manhattan,Coney Island and Brighton Beach
D30,Manhattan,Coney Island and Brighton Beach
D31,Manhattan,Coney Island and Brighton Beach
D32,Manhattan,Coney Island and Brighton Beach
D33,Manhattan,Coney Island and Brighton Beach
D34,Manhattan,Coney Island and Brighton Beach
D35,Manhattan,Coney Island and Brighton Beach
D37,Manhattan,Coney Island and Brighton Beach
D38,Manhattan,Coney Island and Brighton Beach
D39,Manhattan,Coney Island and Brighton Beach
D40,Manhattan,Coney Island and Brighton Beach
D41,Manhattan,Coney Island - Stillwell Av
D42,Manhattan,Coney Island - Stillwell Av
D43,Manhattan,Coney Island - Stillwell Av
E01,Uptown and Queens,World Trade Center
F01,Jamaica - 179 St,Manhattan
F02,Jamaica - 179 St,Manhattan
F03,Jamaica - 179 St,Manhattan
F04,Jamaica - 179 St,Manhattan
F05,Jamaica,Manhattan
F06,Jamaica,Manhattan
F07,Jamaica,Manhattan
F09,Forest Hills and Jamaica,Manhattan
F11,Queens,Downtown and Brooklyn
F12,Queens,Downtown and Brooklyn
F14,Uptown and Queens,Downtown and Brooklyn
F15,Uptown and Queens,Downtown and Brooklyn
F16,Uptown and Queens,Brooklyn
F18,Manhattan,Coney Island - Stillwell Av
F20,Manhattan and Queens,Church Av and Coney Island
F21,Manhattan and Queens,Church Av and Coney Island
F22,Manhattan and Queens,Church Av and Coney Island
F23,Manhattan and Queens,Church Av and Coney Island
F24,Manhattan and Queens,Church Av and Coney Island
F25,Manhattan and Queens,Church Av and Coney Island
F26,Manhattan and Queens,Church Av and Coney Island
F27,Manhattan and Queens,Church Av and Coney Island
F29,Manhattan,Coney Island - Stillwell Av
F30,Manhattan,Coney Island - Stillwell Av
F31,Manhattan,Coney Island - Stillwell Av
F32,Manhattan,Coney Island - Stillwell Av
F33,Manhattan,Coney Island - Stillwell Av
