stop_id,direction_id,direction_name
A16,1,"Uptown and The Bronx"
A17,0,"Downtown and Brooklyn"
A17,1,"Uptown and The Bronx"
A18,0,"Downtown and Brooklyn"
A18,1,"Uptown and The Bronx"
A19,0,"Downtown and Brooklyn"
A19,1,"Uptown and The Bronx"
A20,0,"Downtown and Brooklyn"
A20,1,"Uptown and The Bronx"
A21,0,"Downtown and Brooklyn"
A21,1,"Uptown and The Bronx"
A22,0,"Downtown and Brooklyn"
A22,1,"Uptown and The Bronx"
A24,0,"Downtown and Brooklyn"
A24,1,"Uptown and The Bronx"
A25,0,"Downtown and Brooklyn"
A25,1,"Uptown and The Bronx"
A27,0,"Downtown and Brooklyn"
A27,1,"Uptown and The Bronx"
A28,0,"Downtown and Brooklyn"
A28,1,"Uptown and The Bronx"
A30,0,"Downtown and Brooklyn"
A30,1,"Uptown and The Bronx"
A31,0,"Downtown and Brooklyn"
A31,1,"Uptown and The Bronx"
A32,0,"Downtown and Brooklyn"
A32,1,"Uptown and The Bronx"
A33,0,"Downtown and Brooklyn"
A33,1,"Uptown and The Bronx"
A34,0,"Downtown and Brooklyn"
A34,1,"Uptown and The Bronx"
A36,0,"Downtown and Brooklyn"
A36,1,"Uptown and The Bronx"
A38,0,"Brooklyn"
A38,1,"Uptown and The Bronx"
A40,0,"Lefferts Blvd and The Rockaways"
A40,1,"Manhattan"
A41,0,"Lefferts Blvd and The Rockaways"
A41,1,"Manhattan"
A42,0,"Lefferts Blvd and The Rockaways"
A42,1,"Manhattan"
A43,0,"Lefferts Blvd and The Rockaways"
A43,1,"Manhattan"
A44,0,"Lefferts Blvd and The Rockaways"
A44,1,"Manhattan"
A45,0,"Lefferts Blvd and The Rockaways"
A45,1,"Manhattan"
A46,0,"Lefferts Blvd and The Rockaways"
A46,1,"Manhattan"
A47,0,"Lefferts Blvd and The Rockaways"
A47,1,"Manhattan"
A48,0,"Lefferts Blvd and The Rockaways"
A48,1,"Manhattan"
A49,0,"Lefferts Blvd and The Rockaways"
A49,1,"Manhattan"
A50,0,"Lefferts Blvd and The Rockaways"
A50,1,"Manhattan"
A51,0,"Lefferts Blvd and The Rockaways"
A51,1,"Manhattan"
A52,0,"Lefferts Blvd and The Rockaways"
A52,1,"Manhattan"
A53,0,"Lefferts Blvd and The Rockaways"
A53,1,"Manhattan"
A54,0,"Lefferts Blvd and The Rockaways"
A54,1,"Manhattan"
A55,0,"Lefferts Blvd and The Rockaways"
A55,1,"Manhattan"
A57,0,"Lefferts Blvd and The Rockaways"
A57,1,"Manhattan"
A59,0,"Lefferts Blvd and The Rockaways"
A59,1,"Manhattan"
A60,0,"Lefferts Blvd and The Rockaways"
A60,1,"Manhattan"
A61,0,"Lefferts Blvd and The Rockaways"
A61,1,"Manhattan"
A63,0,"Lefferts Blvd - Ozone Park"
A63,1,"Manhattan"
A64,0,"Lefferts Blvd - Ozone Park"
A64,1,"Manhattan"
A65,0,"Lefferts Blvd - Ozone Park"
A65,1,"Manhattan"
B04,0,"Forest Hills and Jamaica"
B04,1,"Manhattan"
B06,0,"Queens"
B06,1,"Manhattan"
B08,0,"Downtown and Brooklyn"
B08,1,"Uptown via 2nd Av"
B10,0,"Uptown and Queens"
B10,1,"Manhattan"
B12,0,"Coney Island - Stillwell Av"
B12,1,"Manhattan"
B13,0,"Coney Island - Stillwell Av"
B13,1,"Manhattan"
B14,0,"Coney Island - Stillwell Av"
B14,1,"Manhattan"
B15,0,"Coney Island - Stillwell Av"
B15,1,"Manhattan"
B16,0,"Coney Island - Stillwell Av"
B16,1,"Manhattan"
B17,0,"Coney Island - Stillwell Av"
B17,1,"Manhattan"
B18,0,"Coney Island - Stillwell Av"
B18,1,"Manhattan"
B19,0,"Coney Island - Stillwell Av"
B19,1,"Manhattan"
B20,0,"Coney Island - Stillwell Av"
B20,1,"Manhattan"
B21,0,"Coney Island - Stillwell Av"
B21,1,"Manhattan"
B22,0,"Coney Island - Stillwell Av"
B22,1,"Manhattan"
B23,0,"Coney Island - Stillwell Av"
B23,1,"Manhattan"
D01,0,"Manhattan"
D01,1,"Norwood - 205 St"
D03,0,"Manhattan"
D03,1,"Norwood - 205 St"
D04,0,"Manhattan"
D04,1,"Norwood - 205 St"
D05,0,"Manhattan"
D05,1,"Norwood - 205 St"
D06,0,"Manhattan"
D06,1,"Norwood - 205 St"
D07,0,"Manhattan"
D07,1,"Norwood - 205 St"
D08,0,"Manhattan"
D08,1,"Norwood - 205 St"
D09,0,"Manhattan"
D09,1,"Norwood - 205 St"
D10,0,"Manhattan"
D10,1,"Norwood - 205 St"
D11,0,"Manhattan"
D11,1,"Norwood - 205 St"
D12,0,"Downtown and Brooklyn"
D12,1,"The Bronx"
D13,0,"Downtown and Brooklyn"
D13,1,"Uptown and The Bronx"
D14,0,"Downtown and Brooklyn"
D14,1,"Uptown and The Bronx"
D15,0,"Downtown and Brooklyn"
D15,1,"Uptown and The Bronx"
D16,0," Queens and The Bronx"
D16,1,"Uptown"
D17,0," Queens and The Bronx"
D17,1,"Uptown"
D18,0," Queens and The Bronx"
D18,1,"Uptown"
D19,0," Queens and The Bronx"
D19,1,"Uptown"
D20,0," Queens and The Bronx"
D20,1,"Uptown"
D21,0," Queens and The Bronx"
D21,1,"Uptown"
D22,0,"Brooklyn"
D22,1,"Uptown and The Bronx"
D24,0,"Coney Island and Brighton Beach"
D24,1,"Manhattan"
D25,0,"Coney Island and Brighton Beach"
D25,1,"Manhattan"
D26,0,"Coney Island and Brighton Beach"
D26,1,"Manhattan"
D27,0,"Coney Island and Brighton Beach"
D27,1,"Manhattan"
D28,0,"Coney Island and Brighton Beach"
D28,1,"Manhattan"
D29,0,"Coney Island and Brighton Beach"
D29,1,"Manhattan"
D30,0,"Coney Island and Brighton Beach"
D30,1,"Manhattan"
D31,0,"Coney Island and Brighton Beach"
D31,1,"Manhattan"
D32,0,"Coney Island and Brighton Beach"
D32,1,"Manhattan"
D33,0,"Coney Island and Brighton Beach"
D33,1,"Manhattan"
D34,0,"Coney Island and Brighton Beach"
D34,1,"Manhattan"
D35,0,"Coney Island and Brighton Beach"
D35,1,"Manhattan"
D37,0,"Coney Island and Brighton Beach"
D37,1,"Manhattan"
D38,0,"Coney Island and Brighton Beach"
D38,1,"Manhattan"
D39,0,"Coney Island and Brighton Beach"
D39,1,"Manhattan"
D40,0,"Coney Island and Brighton Beach"
D40,1,"Manhattan"
D41,0,"Coney Island - Stillwell Av"
D41,1,"Manhattan"
D42,0,"Coney Island - Stillwell Av"
D42,1,"Manhattan"
D43,0,"Coney Island - Stillwell Av"
D43,1,"Manhattan"
E01,0,"World Trade Center"
E01,1,"Uptown and Queens"
F01,0,"Manhattan"
F01,1,"Jamaica - 179 St"
F02,0,"Manhattan"
F02,1,"Jamaica - 179 St"
F03,0,"Manhattan"
F03,1,"Jamaica - 179 St"
F04,0,"Manhattan"
F04,1,"Jamaica - 179 St"
F05,0,"Manhattan"
F05,1,"Jamaica"
F06,0,"Manhattan"
F06,1,"Jamaica"
F07,0,"Manhattan"
F07,1,"Jamaica"
F09,0,"Manhattan"
F09,1,"Forest Hills and Jamaica"
F11,0,"Downtown and Brooklyn"
F11,1,"Queens"
F12,0,"Downtown and Brooklyn"
F12,1,"Queens"
F14,0,"Downtown and Brooklyn"
F14,1,"Uptown and Queens"
F15,0,"Downtown and Brooklyn"
F15,1,"Uptown and Queens"
F16,0,"Brooklyn"
F16,1,"Uptown and Queens"
F18,0,"Coney Island - Stillwell Av"
F18,1,"Manhattan"
F20,0,"Church Av and Coney Island"
F20,1,"Manhattan and Queens"
F21,0,"Church Av and Coney Island"
F21,1,"Manhattan and Queens"
F22,0,"Church Av and Coney Island"
F22,1,"Manhattan and Queens"
F23,0,"Church Av and Coney Island"
F23,1,"Manhattan and Queens"
F24,0,"Church Av and Coney Island"
F24,1,"Manhattan and Queens"
F25,0,"Church Av and Coney Island"
F25,1,"Manhattan and Queens"
F26,0,"Church Av and Coney Island"
F26,1,"Manhattan and Queens"
F27,0,"Church Av and Coney Island"
F27,1,"Manhattan and Queens"
F29,0,"Coney Island - Stillwell Av"
F29,1,"Manhattan"
F30,0,"Coney Island - Stillwell Av"
F30,1,"Manhattan"
F31,0,"Coney Island - Stillwell Av"
F31,1,"Manhattan"
F32,0,"Coney Island - Stillwell Av"
F32,1,"Manhattan"
F33,0,"Coney Island - Stillwell Av"
F33,1,"Manhattan"
F34,0,"Coney Island - Stillwell Av"
F34,1,"Manhattan"
F35,0,"Coney Island - Stillwell Av"
F35,1,"Manhattan"
F36,0,"Coney Island - Stillwell Av"
F36,1,"Manhattan"
F38,0,"Coney Island - Stillwell Av"
F38,1,"Manhattan"
F39,0,"Coney Island - Stillwell Av"
F39,1,"Manhattan"
G05,0,"Manhattan"
G05,1,"Jamaica Center"
G06,0,"Manhattan"
G06,1,"Jamaica Center"
G07,0,"Manhattan"
G07,1,"Jamaica Center"
G08,0,"Manhattan"
G08,1,"Forest Hills and Jamaica"
G09,0,"Manhattan"
G09,1,"Forest Hills and Jamaica"
G10,0,"Manhattan"
G10,1,"Forest Hills and Jamaica"
G11,0,"Manhattan"
G11,1,"Forest Hills and Jamaica"
G12,0,"Manhattan"
G12,1,"Forest Hills and Jamaica"
G13,0,"Manhattan"
G13,1,"Forest Hills and Jamaica"
G14,0,"Manhattan"
G14,1,"Forest Hills and Jamaica"
G15,0,"Manhattan"
G15,1,"Forest Hills and Jamaica"
G16,0,"Manhattan"
G16,1,"Forest Hills and Jamaica"
G18,0,"Manhattan"
G18,1,"Forest Hills and Jamaica"
